,Farbe,Ort,Bedeutung,IN,OUT,bemerkung,Interface,Klemmen Block
1,rot,Büro,+24 Volt,,,,,1
2,blau,,Jalousie hoch,E6.6,,,T4,
3,weiß,,Jalousie runter,E6.1,,,,
4,gelb,,Licht Decke,E6.2,,,,
5,weiß,,Licht Ost,E9.0,,,,
6,grün,,Licht Außen,E7.1,,,T2,
7,weiß,,Steckdosen,E7.5,,,,
8,braun,,evtl BM,E6.4,,,,
9,weiß,,evtl BM,,,,,
10,schwarz,,evtl BM,,,,,
11,weiß,,PT1000,CH1,,SM 1231 ,,
12,blau,,PT1000,CH1,,SM 1231 ,,
,rot,WHZ Süd,res,,,blind,blind,
,schwarz,,res,,,blind,,
,weiß,,res,,,blind,,
,gelb,,res,,,blind,,
13,rot,EZ Süd,+24 Volt,,,,,2
14,blau,,Jalousie wz hoch,E8.2,,,T4,
15,weiß,,Jalousie wz runter,E6.3,,,,
16,gelb,,Jalousie hoch,E7.3,,,,
17,weiß,,Jalousie runter,E7.4,,,,
18,grün,,Licht WHZ,E9.1,,,T6,
19,weiß,,Licht EZ,E6.7,,,,
20,braun,,signal,E8.3,,,,
21,weiß,,signal,E7.0,,,,
22,schwarz,,Steckdosen,E8.0,,,,
23,weiß,,Beleuchtung,,x,,,
24,blau,,GND,,,,,
25,rot,EZ West,+24 Volt,,,,,3
26,blau,,Jalousie hoch,E7.2,,,T6,
27,weiß,,Jalousie runter,E6.5,,,,
28,gelb,,Licht Decke,E9.2,,,,
29,weiß,,Licht Wand,E6.0,,,,
30,grün,,Jalousie hoch,E8.1,,,,
31,weiß,,Jalousie runter,E9.3,,,,
32,braun,,n.d.,,,,,
33,rot,Küche Herd,+24 Volt,,,,,4
34,blau,,Jalousie hoch,E11.3,,,T4,
35,weiß,,Jalousie runter,E10.0,,,,
36,gelb,,Licht Decke,E9.5,,,,
37,weiß,,Licht Wand,E9.6,,,,
38,grün,,PT1000,CH0,,SM 1231 ,temp,
39,weiß,,PT1000,CH0,,SM 1231 ,,
40,braun,,n.d.,,,,,
41,weiß,,n.d.,,,,,
42,schwarz,,n.d.,,,,,
,weiß,,res,,,,,
,blau,,res,,,,,
43,rot,Küche Speise,+24 Volt,,,,,5
44,blau,,Jalousie hoch,E8.5,,,T4,
45,weiß,,Jalousie runter,E9.4,,,,
46,gelb,,Licht Decke,E9.7,,,,
47,weiß,,Licht Wand,E10.1,,,,
48,grün,,n.d.,,,,,
,weiß,,res,,,,,
,braun,,res,,,,,
49,rot,Bad,+24 Volt,,,,,6
50,blau,,Licht Decke,E11.4,,,T2,
51,weiß,,Licht Spiegel,E11.7,,,,
52,gelb,,Beleuchtung,,A13.5,,,
53,weiß,,GND,,,,,
54,grün,,n.d.,,,,,
,weiß,,res,,,,,
,braun,,res,,,,,
55,rot,Flur Kamin,+24 Volt,,,,,7
56,blau,,Licht Flur,E11.0,,,T6,
57,weiß,,Licht WHZ,E8.4,,,,
58,gelb,,Jalousie hoch,E11.5,,,,
59,weiß,,Jalousie runter,E8.7,,,,
60,grün,,Signal,E10.3,,,,
61,weiß,,Beleuchtung,,A13.4,,,
62,braun,,GND,,,,,
63,rot,Flur Gaderobe,+24 Volt,,,,,8
